Transaction_date,Transaction time,Product,Price,Payment_Type,Name,City,State,Country,Latitude,Longitude
1/2/21,17:00:02,product1,824,Visa,Maggie,Paris,Ile-de-France,France,48.8666667,2.3333333
1/2/21,17:00:10,product7,1042,Amex,Kaylee,Penngrove                   ,CA,United States,38.29972,-122.66556
1/2/21,17:00:12,product1,824,Mastercard,Frank,Old Greenwich               ,CT,United States,41.02278,-73.56528
1/2/21,17:00:21,product3,289,Visa,Brian,College Park                ,MD,United States,38.98056,-76.93722
1/2/21,17:00:22,product3,289,Visa,Kerry,Anieres,Geneve,Switzerland,46.2833333,6.2166667
1/2/21,17:00:27,product3,289,Visa,James,Edmonton,Alberta,Canada,53.55,-113.5
1/2/21,17:00:32,product3,289,Mastercard,Alicia,Lincoln                     ,NE,United States,40.8,-96.66667
1/2/21,17:00:39,product7,1042,Mastercard,Andrew,Sevilla,Andalucia,Spain,37.3772222,-5.9869444
1/2/21,17:00:43,product1,824,Visa,Lisa,Anse Comeau,Quebec,Canada,49.2166667,-68.15
1/2/21,17:00:44,product1,824,Visa,Eric,Melbourne,Victoria,Australia,-37.8166667,144.9666667
1/2/21,17:00:44,product7,1042,Visa,Alexia,Blackrock,Dublin,Ireland,53.3030556,-6.1830556
1/2/21,17:00:45,product2,456,Visa,Conrad,Joppa,MD,United States,39.43361,-76.35806
1/2/21,17:00:45,product4,199,Visa,kirsten,Bishops Stortford,England,United Kingdom,51.8666667,0.1666667
1/2/21,17:00:45,product4,199,Mastercard,Ulrika,Scottsdale                  ,AZ,United States,33.50917,-111.89833
1/2/21,17:00:55,product8,659,Visa,LAURIE,Guildford,England,United Kingdom,51.2166667,-0.5666667
1/2/21,17:00:55,product2,456,Visa,Judith L.,Scottsdale                  ,AZ,United States,33.50917,-111.89833
1/2/21,17:00:56,product4,199,Visa,IMAN,Brisbane,Queensland,Australia,-27.5,153.0166667
1/2/21,17:00:57,product7,1042,Mastercard,Zane,Warlingham,England,United Kingdom,51.3,-0.05
1/2/21,17:01:00,product1,824,Visa,scott,Rogers                      ,AR,United States,36.33194,-94.11833
1/2/21,17:01:24,product2,456,Diners,julie,Haverhill,England,United Kingdom,52.0833333,0.4333333
1/2/21,17:01:25,product1,824,Visa,jacqueline,North Vancouver,British Columbia,Canada,49.3166667,-123.0666667
1/2/21,17:01:25,product7,1042,Visa,Astrid,Oslo,Oslo,Norway,59.9166667,10.75
1/2/21,17:01:29,product1,824,Visa,Carmen,Arlington                   ,VA,United States,38.89028,-77.08444
1/2/21,17:01:32,product3,289,Visa,ciara and mike,London,England,United Kingdom,51.51334,-0.08895
1/2/21,17:01:35,product3,289,Visa,Jen,Maidstone,England,United Kingdom,51.2666667,0.5166667
1/2/21,17:01:40,product2,456,Visa,Rachel,Fresno                      ,CA,United States,36.74778,-119.77139
1/2/21,17:01:44,product7,1042,Mastercard,Kevin,Cheltenham,England,United Kingdom,51.9,-2.0833333
1/2/21,17:01:47,product5,544,Mastercard,Bonnie,Saltsjobaden,Stockholm,Sweden,59.2833333,18.3
1/2/21,17:01:47,product8,659,Visa,Sophie,Newtown                     ,CT,United States,41.41389,-73.30389
